"","Subject","File","Gender","Age","Color","Change","Total.time","Points","Clicker","Handeness","Language","Mobile","Normalized_button","Portrait","Strategy","Touch","User.agent","Window"
"11",11,"381641772-1505678509.json","m",52,"no","yes",4.26666666666667,"[55, 87, 29]","mouse","right","english","False","{'y': 0.09726329034287512, 'x': 0.2691993720565149}","False","no special strategy","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"12",12,"196664828-1505744773.json","f",27,"I had no issue distinguishing between the colors.","It seemed like several times, the color would change about 1 second in.",3.33333333333333,"[45, 78, 22]","mouse","right","English","False","{'y': 0.09731991268493816, 'x': 0.2691842168966352}","False","I tried to move in the center of the square so that I could go either direction in case the box changed color. Thank you for letting me take part!","False","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"13",13,"850041376-1505748231.json","f",22,"No","No",3.06666666666667,"[40, 84, 20]","mouse","right","English","False","{'y': 0.09726329034287512, 'x': 0.2691993720565149}","False","No special strategy or comments","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"14",14,"930808911-1505748049.json","m",35,"No","In some experimental iterations, the target color changed a short time after initial display.",5.23333333333333,"[107, 239, 39]","mouse","right","English","False","{'y': 0.0968063872255489, 'x': 0.2688740897491753}","False","I attempted to count the number of iterative color appearances to determine if the next displayed color would be the same as the one previously shown.","False","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",1366
"15",15,"262153185-1505746349.json","f",37,"no","yes",4.4,"[66, 119, 35]","mouse","left"," english","False","{'y': 0.09617089622062594, 'x': 0.269219396408532}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1536
"16",16,"576420508-1505745627.json","f",46,"no","yes",7.25,"[60, 169, 21]","mouse","right","english","False","{'y': 0.09627002161503076, 'x': 0.26918601429600486}","False","","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1404
"17",17,"747214732-1505747519.json","f",26,"no","no",4.51666666666667,"[62, 137, 33]","mouse","right","english","False","{'y': 0.09594594594594595, 'x': 0.2692024087501536}","False","","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1280
"18",18,"924956067-1505744905.json","m",32,"No.","Sorta",3.81666666666667,"[50, 87, 30]","mouse","right","English","False","{'y': 0.09713855575983378, 'x': 0.2691934451698839}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",2048
"19",19,"397592144-1505745036.json","f",31,"no","yes",6.53333333333333,"[35, 75, 18]","mouse","right","English","False","{'y': 0.0946051282051282, 'x': 0.2692196947883674}","False","","True","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1920
"20",20,"322786562-1505747410.json","f",45,"no","yes",5.06666666666667,"[60, 122, 35]","mouse","right","english","False","{'y': 0.09790595150624541, 'x': 0.2692307692307692}","False","","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1332
"21",21,"949305350-1505748337.json","m",40,"None","Yes",4.16666666666667,"[54, 91, 33]","mouse","left","English","False","{'y': 0.09731991268493816, 'x': 0.2691842168966352}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"22",22,"667889028-1505747698.json","f",27,"no","no",3.58333333333333,"[43, 77, 22]","mouse","right","english","False","{'y': 0.09659156556903524, 'x': 0.26910644193027017}","False","","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1757
"23",23,"572066944-1505744996.json","f",29,"nope","sometimes it was slow",5.06666666666667,"[60, 116, 32]","mouse","right","english","False","{'y': 0.09646218194492855, 'x': 0.2692039714335482}","False","","False","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1680
"24",24,"800437211-1505744841.json","m",29,"A couple times it changed just as I made my choice and clicked.","Yes.",4.7,"[51, 95, 20]","mouse","right","English","False","{'y': 0.09509509509509509, 'x': 0.2692326058927463}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1118
"25",25,"492074049-1505683283.json","m",31,"no","yes, it would change sometimes after you had moved",4.1,"[88, 152, 39]","mouse","right","english","False","{'y': 0.09593474883480062, 'x': 0.26922246686525925}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1280
"26",26,"90590091-1505745569.json","m",30,"no","yes",3.51666666666667,"[54, 96, 28]","mouse","right","english","False","{'y': 0.09532293986636971, 'x': 0.26921049430274524}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1920
"27",27,"559215290-1505680664.json","f",44,"no","Shortly after I started moving, usually.",9.33333333333333,"[57, 109, 29]","mouse","right","English","False","{'y': 0.09595362044486512, 'x': 0.26920345603029944}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36",1052
"28",28,"911172705-1505745724.json","f",31,"No","Yes",7.11666666666667,"[92, 172, 34]","mouse","right","English","False","{'y': 0.09983465419921318, 'x': 0.2691251026708585}","False","None","False","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",1280
"29",29,"243245089-1505744709.json","m",33,"Not at all. The colors were red and blue.","The color changed often when I went to select the first color shown.",3.93333333333333,"[55, 137, 30]","mouse","right","English","False","{'y': 0.09590065828845003, 'x': 0.26922117447487903}","False","Thank you!","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",861
"30",30,"972530465-1505744869.json","m",27,"none","none",5.1,"[63, 178, 19]","mouse","right","English","False","{'y': 0.0966403222361234, 'x': 0.2692319419459097}","False","none","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1417
"31",31,"520710181-1505750226.json","f",33,"No","Yes",3.15,"[49, 78, 24]","mouse","right","English","False","{'y': 0.09615384615384616, 'x': 0.2692307692307692}","False","","False","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"32",32,"198974488-1505746519.json","m",39,"No","yes it did a few times",4.03333333333333,"[52, 86, 24]","mouse","right","English","False","{'y': 0.09654708520179373, 'x': 0.26919112704458886}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1280
"33",33,"336086382-1505746513.json","f",42,"no","yes",3.48333333333333,"[53, 121, 30]","mouse","right","english","False","{'y': 0.09586466165413533, 'x': 0.26921980965407194}","False","","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1280
"34",34,"475521278-1505744844.json","m",25,"no","Yes",3.25,"[49, 105, 24]","mouse","right","english","False","{'y': 0.0963990158801163, 'x': 0.2692273296369165}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1301
"35",35,"353519432-1505745928.json","f",21,"No","Yes",4.2,"[59, 104, 29]","mouse","left","English","False","{'y': 0.09617089622062594, 'x': 0.269219396408532}","False","Just reflexes","True","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1536
