"","Subject","File","Gender","Age","Total.time","Points","Clicker","Handeness","Language","Mobile","Normalized_button","Portrait","Strategy","Touch","User.agent","Window"
"20",20,"39582494-1494334331.json","m",28,1.98333333333333,"[667, 966, 401]","mouse","right","english","False","{'y': 0.10253065483955126, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",2560
"21",21,"401638358-1494334303.json","m",25,2.73333333333333,"[223, 551, 53]","mouse","right","English","False","{'y': 0.1024390243902439, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1600
"22",22,"410915959-1494333822.json","f",28,2.4,"[102, 208, 2]","trackpad","right","Spanish","False","{'y': 0.10360498759977615, 'x': 0.5000000159171822}","False","","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",743
"23",23,"418553408-1494334397.json","m",58,3.73333333333333,"[140, 919, 67]","mouse","right","English","False","{'y': 0.10238908116439145, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1024
"24",24,"427492453-1494336597.json","f",53,2.31666666666667,"[131, 404, 46]","mouse","right","English","False","{'y': 0.10241077610625039, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1242
"25",25,"433734070-1494334453.json","m",29,2.78333333333333,"[96, 282, 48]","mouse","right","English","False","{'y': 0.10228606055309973, 'x': 0.5000000140040288}","False","","True","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",996
"26",26,"443980882-1494335434.json","f",30,2.8,"[198, 593, 72]","mouse","right","English","False","{'y': 0.10229322339603195, 'x': 0.49990559506576876}","False","I have no additional comments.","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
"27",27,"488017578-1494337980.json","f",43,1.95,"[94, 307, 42]","mouse","right","english","False","{'y': 0.10253046206749448, 'x': 0.49999993493450834}","False","Just so you know - elephants DO have hair.  Not a lot, but they do.  They don't have FUR, however, so...depending on your intent, you may want to change the wording.","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1019
"28",28,"50490149-1494334370.json","m",27,2.15,"[1012, 1713, 503]","mouse","right","English","False","{'y': 0.1026287360460929, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
"29",29,"529079824-1494335444.json","m",42,12.5,"[585, 845, 353]","mouse","left","english","False","{'y': 0.10252086306049206, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1920
